Serial Number,Error Type,Ungrammatical Statement,Standard English
9231,Incorrect Auxiliaries,The birds is flying south for the winter.,The birds are flying south for the winter.
9232,Preposition Usage,I will meet you in the airport.,I will meet you at the airport.
9233,Abbreviation Errors,"In the meeting, they discussed GDPR and CCPA cmp.","In the meeting, they discussed General Data Protection Regulation and California Consumer Privacy Act compliance."
9234,Gerund and Participle Errors,The athlete was disqualify for using performance-enhancing drugs.,The athlete was disqualified for using performance-enhancing drugs.
9235,Inappropriate Register,The manager requested that John submits his report ASAP.,The manager requested that John submit his report as soon as possible.
9236,Tautology,The student was very enthusiastic and eager to learn.,The student was very enthusiastic to learn.
9237,Infinitive Errors,The hikers decided to gradually climb the mountain.,The hikers decided to climb the mountain gradually.
9238,Run-on Sentences,The restaurant was crowded we had to wait for a table.,"The restaurant was crowded, and we had to wait for a table."
9239,Sentence Fragments,He the best teacher.,He is the best teacher.
9240,Conjunction Misuse,"The team is talented, but they are inexperienced.",The team is talented and inexperienced.
9241,Spelling Mistakes,"48. He can play the guitar, the piano, and the drumbs.","48. He can play the guitar, the piano, and the drums."
9242,Faulty Comparisons,The train is more faster than the bus.,The train is faster than the bus.
9243,Verb Tense Errors,The students are prepare for their presentations.,The students are preparing for their presentations.
9244,Tautology,He was completely devastated and heartbroken.,He was completely devastated.
9245,Preposition Usage,I will come back from work in 5 PM.,I will come back from work at 5 PM.
9246,Passive Voice Overuse,The car was driven by Sarah to the supermarket.,Sarah drove the car to the supermarket.
9247,Ambiguity,She don't know how to swim.,She doesn't know how to swim.
9248,Agreement in Comparative and Superlative Forms,The most deepest part of the ocean is the Mariana Trench.,The deepest part of the ocean is the Mariana Trench.
9249,Agreement in Comparative and Superlative Forms,The novel was most more engaging than the movie.,The novel was more engaging than the movie.
9250,Spelling Mistakes,4. The car needs to be wash before we go.,4. The car needs to be washed before we go.
9251,Lack of Parallelism in Lists or Series,"The project requires careful planning, effective communication, and to monitor progress.","The project requires careful planning, effective communication, and progress monitoring."
9252,Incorrect Auxiliaries,The city's population be growing rapidly.,The city's population is growing rapidly.
9253,Gerund and Participle Errors,The movie was criticize for its lack of character development.,The movie was criticized for its lack of character development.
9254,Abbreviation Errors,"The pkg was del'd by USPS, not UPS.","The package was delivered by United States Postal Service, not United Parcel Service."
9255,Run-on Sentences,I have a dog his name is Max.,"I have a dog, and his name is Max."
9256,Passive Voice Overuse,The research was conducted by the scientists in the lab.,The scientists conducted the research in the lab.
9257,Spelling Mistakes,52. The scientists are researching new methods of energy production.,52. The scientists are researching new methods of energy production.
9258,Verb Tense Errors,The kids plays video games after school.,The kids play video games after school.
9259,Preposition Usage,They were talking about their plans.,They were talking of their plans.
9260,Ambiguity,The sun shines to bright.,The sun shines too bright.
9261,Preposition Usage,I have been waiting him since morning.,I have been waiting for him since morning.
9262,Preposition Usage,The building is located at the city center.,The building is located in the city center.
9263,Tautology,"In my personal opinion, I believe that we should take action.","In my opinion, we should take action."
9264,Mixed Conditionals,"If he studied harder, he will pass the exam.","If he studied harder, he would pass the exam."
9265,Pronoun Errors,The newlyweds bought a house and decorated them together.,The newlyweds bought a house and decorated it together.
9266,"Slang, Jargon, and Colloquialisms",4. We was walking to the store when it started raining.,4. We were walking to the store when it started raining.
9267,Ellipsis Errors,The concert was amazing... loved every minute of it.,"The concert was amazing, and I loved every minute of it."
9268,Agreement in Comparative and Superlative Forms,She is the most more experienced candidate for the job.,She is the more experienced candidate for the job.
9269,Agreement in Comparative and Superlative Forms,The most richest person in the world lives here.,The richest person in the world lives here.
9270,Preposition Usage,The dog jumped in the fence.,The dog jumped over the fence.
9271,Spelling Mistakes,99. The doctor adviced her to exercise regularly and eat healthy.,99. The doctor advised her to exercise regularly and eat healthily.
9272,Faulty Comparisons,"The cake is more delicious than the pie, but less than the ice cream.","The cake is more delicious than the pie, but less delicious than the ice cream."
9273,Run-on Sentences,The laptop battery died he couldn't finish his work.,"The laptop battery died, and he couldn't finish his work."
9274,Modifiers Misplacement,The article was written by a talented writer exploring a controversial topic.,The article exploring a controversial topic was written by a talented writer.
9275,Article Usage,The teacher is helping a students with a homework assignments.,The teacher is helping the students with their homework assignments.
9276,Incorrect Auxiliaries,The students has to complete their assignments.,The students have to complete their assignments.
9277,Contractions Errors,"The robot's programming is advanced, it's abilities are impressive.","The robot's programming is advanced, its abilities are impressive."
9278,Preposition Usage,She always listens music after work.,She always listens to music after work.
9279,Punctuation Errors,"She asked ""Can you help me with my homework?""","She asked, ""Can you help me with my homework?"""
9280,Parallelism Errors,"The garden has beautiful flowers, tall trees, and it's a peaceful place.","The garden has beautiful flowers, tall trees, and a peaceful atmosphere."
9281,Punctuation Errors,"Can you believe it, I won the lottery!",Can you believe it? I won the lottery!
9282,Pronoun Errors,"When you see Sarah, give them this letter.","When you see Sarah, give her this letter."
9283,Inappropriate Register,The board members agreed that the proposed plan was legit.,The board members agreed that the proposed plan was legitimate.
9284,Mixed Metaphors/Idioms,"10. The early bird catches the worm, but that's the way the cookie crumbles.",10. The early bird catches the worm.
9285,Sentence Structure Errors,We must to finish the project before the deadline.,We must finish the project before the deadline.
9286,Spelling Mistakes,"5. If you could met any celebrity, who would it be?","5. If you could meet any celebrity, who would it be?"
9287,Subject-Verb Agreement,The couple takes a walk in the park every evening.,The couple take a walk in the park every evening.
9288,Parallelism Errors,"She likes to dance, sing, and spending time with friends.","She likes to dance, sing, and spend time with friends."
9289,Spelling Mistakes,99. The doctor adviced her to exercise regularly and eat healthy.,99. The doctor advised her to exercise regularly and eat healthily.
9290,Gerund and Participle Errors,The book's success was due to the author's unique write style.,The book's success was due to the author's unique writing style.
9291,Incorrect Auxiliaries,The company be launching a new product.,The company is launching a new product.
9292,Mixed Metaphors/Idioms,"24. Don't put all your eggs in one basket, but time is money.",24. Don't put all your eggs in one basket.
9293,Mixed Conditionals,"If they will not argue, they could have solved the problem.","If they did not argue, they could solve the problem."
9294,Spelling Mistakes,95. The laptop was pluged in but it wasn't charging.,"95. The laptop was plugged in, but it wasn't charging."
9295,Conjunction Misuse,"I'm tired, but I can't sleep.",I'm tired but can't sleep.
9296,Lack of Parallelism in Lists or Series,"The training program focuses on skill development, teamwork, and to enhance leadership abilities.","The training program focuses on skill development, teamwork, and enhancing leadership abilities."
9297,Preposition Usage,He was leaning against the wall.,He was leaning on the wall.
9298,Agreement in Comparative and Superlative Forms,The weather today is most hotter than yesterday.,The weather today is hotter than yesterday.
9299,Clichés,The team went back drawing board.,The team went back to the drawing board.
9300,Sentence Structure Errors,"After much thought, he decided to buy a new car.","After much thought, he decided to buy a new car."
9301,Negation Errors,There isn't no milk in the fridge.,There is no milk in the fridge.
9302,Redundancy/Repetition,I went to the store store.,I went to the store.
9303,"Slang, Jargon, and Colloquialisms",20. He's gonna need a new hard drive for his comp.,20. He's going to need a new hard drive for his computer.
9304,Quantifier Errors,All of the cookies you baked are delicious.,All the cookies you baked are delicious.
9305,Incorrect Auxiliaries,The birds is flying south for the winter.,The birds are flying south for the winter.
9306,Abbreviation Errors,"I've been feeling v tired lately, IDK why.","I've been feeling very tired lately, I don't know why."
9307,Word Choice/Usage,Your computer has a virus and needs to be de-fragmented.,Your computer has a virus and needs to be defragmented.
9308,Faulty Comparisons,This chocolate is more sweeter than the other one.,This chocolate is sweeter than the other one.
9309,Abbreviation Errors,My bro just joined the USMC yday.,My brother just joined the United States Marine Corps yesterday.
9310,Relative Clause Errors,The mechanic fixed my car is very skilled.,The mechanic who fixed my car is very skilled.
9311,Article Usage,The farmer is harvesting a crops in a field.,The farmer is harvesting crops in the field.
9312,Infinitive Errors,"To effectively communicate, listen carefully to others.","To communicate effectively, listen carefully to others."
9313,Punctuation Errors,The movie was very interesting however it was too long.,"The movie was very interesting; however, it was too long."
9314,Ambiguity,I'm excited for going on vacation.,I'm excited about going on vacation.
9315,Redundancy/Repetition,"I want to buy a new shirt, but first I have to save up some money, some cash.","I want to buy a new shirt, but first I have to save up some money."
9316,Abbreviation Errors,"She's a great actr, she won an Oscar last yr.","She's a great actress, she won an Academy Award last year."
9317,Inappropriate Register,The new regulations will help in reducin' pollution and conservin' natural resources.,The new regulations will help in reducing pollution and conserving natural resources.
9318,Capitalization Errors,she is studying at the university of cambridge in the united kingdom.,She is studying at the University of Cambridge in the United Kingdom.
9319,Faulty Comparisons,The presentation was more boring than the lecture.,The presentation was more boring than the lecture.
9320,Subject-Verb Agreement,The range of mountains stretches across the horizon.,The range of mountains stretch across the horizon.
9321,Faulty Comparisons,The weather is more warmer in the south.,The weather is warmer in the south.
9322,Article Usage,The children are playing a soccer in a park.,The children are playing soccer in the park.
9323,Mixed Metaphors/Idioms,"40. Ignorance is bliss, but knowledge is power.",40. Ignorance is bliss.
9324,"Slang, Jargon, and Colloquialisms",12. You got any idea how to fix this?,12. Do you have any idea how to fix this?
9325,Spelling Mistakes,32. The cat was stuck on the tree and couldn't got down.,32. The cat was stuck in the tree and couldn't get down.
9326,Preposition Usage,They walked among the trees.,They walked amidst the trees.
9327,Pronoun Errors,"The band played their instruments loudly, which made them neighbors upset.","The band played their instruments loudly, which made their neighbors upset."
9328,Passive Voice Overuse,The lecture was given by Professor Smith.,Professor Smith gave the lecture.
9329,Verb Tense Errors,The pizza is deliver to the wrong address.,The pizza was delivered to the wrong address.
9330,Spelling Mistakes,15. I am a student at University of Washinton.,15. I am a student at the University of Washington.
9331,Article Usage,I need to buy a new pair of a shoes.,I need to buy a new pair of shoes.
9332,Parallelism Errors,"She likes to dance, sing, and spending time with friends.","She likes to dance, sing, and spend time with friends."
9333,Inappropriate Register,You shoulda been more careful while handling the equipment.,You should have been more careful while handling the equipment.
9334,Subject-Verb Agreement,The plants in the garden has grown significantly.,The plants in the garden have grown significantly.
9335,Agreement in Comparative and Superlative Forms,The novel was most more engaging than the movie.,The novel was more engaging than the movie.
9336,Inappropriate Register,The company is workin' on developin' eco-friendly products.,The company is working on developing eco-friendly products.
9337,Clichés,They're jumping the bandwagon.,They're jumping on the bandwagon.
9338,Verb Tense Errors,The concert begins in an hour.,The concert will begin in an hour.
9339,Negation Errors,I can't remember no passwords.,I can't remember any passwords.
9340,Subject-Verb Agreement,The group of fish swim together in the tank.,The group of fish swims together in the tank.
9341,Article Usage,The speaker is giving a presentation on a social issues.,The speaker is giving a presentation on social issues.
9342,Subject-Verb Agreement,The collection of stamps have been growing steadily.,The collection of stamps has been growing steadily.
9343,Parallelism Errors,"She enjoys reading, to watch movies, and cooking.","She enjoys reading, watching movies, and cooking."
9344,Faulty Comparisons,The presentation was more boring than the lecture.,The presentation was more boring than the lecture.
9345,Article Usage,She is an expert in a field of psychology.,She is an expert in the field of psychology.
9346,Abbreviation Errors,The engine has 200hp and 300lb-ft tq.,The engine has 200 horsepower and 300 pound-feet of torque.
9347,Ellipsis Errors,The interview went well... got the job.,"The interview went well, and I got the job."
9348,Preposition Usage,They're going for a walk along the river.,They're going for a walk beside the river.
9349,Incorrect Auxiliaries,He have a meeting at 10 o'clock.,He has a meeting at 10 o'clock.
9350,Sentence Fragments,"The party, crowded, everyone having fun.","The party was crowded, and everyone was having fun."
9351,"Slang, Jargon, and Colloquialisms","2. Imma gonna pick up some grub, ya hungry?","2. I'm going to pick up some food, are you hungry?"
9352,Infinitive Errors,The speaker tried to clearly convey his message.,The speaker tried to convey his message clearly.
9353,Mixed Metaphors/Idioms,"36. Fortune favors the bold, but good things come to those who wait.",36. Fortune favors the bold.
9354,Sentence Structure Errors,The flowers in the garden are blooming beautifully.,The flowers in the garden are blooming beautifully.
9355,Agreement in Comparative and Superlative Forms,He run more faster than me.,He runs faster than me.
9356,Punctuation Errors,"Can you believe it, I won the lottery!",Can you believe it? I won the lottery!
9357,Verb Tense Errors,The dogs barks at the mail carrier.,The dogs bark at the mail carrier.
9358,Faulty Comparisons,The weather is less hotter today than yesterday.,The weather is cooler today than yesterday.
9359,Modifiers Misplacement,The documentary focused on environmental issues narrated by a famous actor.,The documentary narrated by a famous actor focused on environmental issues.
9360,Capitalization Errors,she loves reading books by jane austen.,She loves reading books by Jane Austen.
9361,Pronoun Errors,The driver parked the car in it's designated spot.,The driver parked the car in its designated spot.
9362,Subject-Verb Agreement,The employees at the store works diligently.,The employees at the store work diligently.
9363,Article Usage,The dog is chasing a ball in a park.,The dog is chasing a ball in the park.
9364,Subject-Verb Agreement,The selection of movies at the theater is impressive.,The selection of movies at the theater are impressive.
9365,Article Usage,The artist is displaying a paintings in a gallery.,The artist is displaying paintings in the gallery.
9366,Subject-Verb Agreement,The series of articles on the topic was enlightening.,The series of articles on the topic were enlightening.
9367,Sentence Structure Errors,The doctor said my blood pressure are high.,The doctor said my blood pressure is high.
9368,Pronoun Errors,The gardener watered the plants and took care of there needs.,The gardener watered the plants and took care of their needs.
9369,Agreement in Comparative and Superlative Forms,The roller coaster was the most scariest I've ever been on.,The roller coaster was the scariest I've ever been on.
9370,Punctuation Errors,"The book is interesting, it's about ancient civilizations.",The book is interesting; it's about ancient civilizations.
9371,Passive Voice Overuse,The tickets were bought by Jane for the concert.,Jane bought the tickets for the concert.
9372,Quantifier Errors,Some of the dishes on this menu are vegetarian.,Some dishes on this menu are vegetarian.
9373,Spelling Mistakes,1. She always be triying new things.,1. She always tries new things.
9374,Relative Clause Errors,This is the book I told you about.,This is the book that I told you about.
9375,Run-on Sentences,They went to the museum they saw many paintings.,"They went to the museum, where they saw many paintings."
9376,Mixed Metaphors/Idioms,"28. You can't teach an old dog new tricks, but the show must go on.",28. You can't teach an old dog new tricks.
9377,Redundancy/Repetition,He is always continuously working on his projects.,He is always working on his projects.
9378,Abbreviation Errors,"Plz send me the PDF, not the DOC file.","Please send me the Portable Document Format, not the Word Document file."
9379,Relative Clause Errors,The magazine I subscribed to it is about photography.,The magazine that I subscribed to is about photography.
9380,Verb Tense Errors,The movie start at 8 PM.,The movie starts at 8 PM.
9381,Article Usage,The company is investing in a renewable energy.,The company is investing in renewable energy.
9382,Subject-Verb Agreement,The variety of plants in the greenhouse needs special care.,The variety of plants in the greenhouse need special care.
9383,"Slang, Jargon, and Colloquialisms",21. Can't you just chill for a sec?,21. Can't you just relax for a moment?
9384,Contractions Errors,"The city's infrastructure needs improvement, it's roads are damaged.","The city's infrastructure needs improvement, its roads are damaged."
9385,Inappropriate Register,"The conference is an opportunity for professionals to network and exchange ideas, dude.",The conference is an opportunity for professionals to network and exchange ideas.
9386,Spelling Mistakes,84. The city is facing a water shortage due to the ongoing drought.,84. The city is facing a water shortage due to the ongoing drought.
9387,Sentence Structure Errors,The books on the shelf are belongs to the library.,The books on the shelf belong to the library.
9388,Negation Errors,She can't find her keys nowhere.,She can't find her keys anywhere.
9389,Subject-Verb Agreement,The number of people attending the event has increased.,The number of people attending the event have increased.
9390,Agreement in Comparative and Superlative Forms,This wine is most more expensive than the other one.,This wine is more expensive than the other one.
9391,Sentence Structure Errors,"The movie was scary, but I enjoyed watching it.","The movie was scary, but I enjoyed watching it."
9392,Relative Clause Errors,The computer I'm using it for work needs an upgrade.,The computer that I'm using for work needs an upgrade.
9393,Verb Tense Errors,He is read a book before going to bed.,He reads a book before going to bed.
9394,Mixed Metaphors/Idioms,"44. A penny saved is a penny earned, but money can't buy happiness.",44. A penny saved is a penny earned.
9395,Preposition Usage,The vase is placed on the table.,The vase is placed upon the table.
9396,Relative Clause Errors,I met a woman has three dogs.,I met a woman who has three dogs.
9397,Passive Voice Overuse,The photos were taken by the photographer at the event.,The photographer took the photos at the event.
9398,Sentence Structure Errors,They visited their grandparents on the weekend.,They visited their grandparents on the weekend.
9399,Infinitive Errors,He decided to quickly finish his homework.,He decided to finish his homework quickly.
9400,Spelling Mistakes,23. She is studing biology at the university this semester.,23. She is studying biology at the university this semester.
9401,Contractions Errors,The restaurant is known for they're pizza.,The restaurant is known for their pizza.
9402,Faulty Comparisons,The beach is more cleaner than the lake.,The beach is cleaner than the lake.
9403,Relative Clause Errors,The phone I dropped it in water is no longer working.,The phone that I dropped in water is no longer working.
9404,Inappropriate Register,"The construction project is behind schedule, and the contractor needs to get his act together.","The construction project is behind schedule, and the contractor needs to improve his performance."
9405,Faulty Comparisons,Her singing is less better than her dancing.,Her singing is not as good as her dancing.
9406,Abbreviation Errors,"He works at FB, but I work at MS.","He works at Facebook, but I work at Microsoft."
9407,Capitalization Errors,i’m going to the movies with my friends.,I’m going to the movies with my friends.
9408,Quantifier Errors,Some of the articles in this magazine are informative.,Some articles in this magazine are informative.
9409,Parallelism Errors,"The garden has beautiful flowers, tall trees, and it's a peaceful place.","The garden has beautiful flowers, tall trees, and a peaceful atmosphere."
9410,Spelling Mistakes,34. The airplane was delayed due to bad wheather conditions.,34. The airplane was delayed due to bad weather conditions.
9411,Lack of Parallelism in Lists or Series,"The exhibition showcases contemporary art, photography, and to feature performances.","The exhibition showcases contemporary art, photography, and features performances."
9412,Faulty Comparisons,She's more happier when she's with her friends.,She's happier when she's with her friends.
9413,Gerund and Participle Errors,The flowers in the garden were wilt due to the heat.,The flowers in the garden were wilting due to the heat.
9414,Mixed Metaphors/Idioms,2. You're comparing apples to oranges while the cat's away.,2. You're comparing apples to oranges.
9415,Agreement in Comparative and Superlative Forms,The new employee is most efficient than the previous one.,The new employee is more efficient than the previous one.
9416,Clichés,He's wearing heart sleeve.,He's wearing his heart on his sleeve.
9417,Article Usage,I have a meeting with a principal of a school.,I have a meeting with the principal of the school.
9418,Mixed Conditionals,"If I will have more time, I would have exercised more.","If I had more time, I would exercise more."
9419,Spelling Mistakes,38. He recieved a letter from an unkown person.,38. He received a letter from an unknown person.
9420,Mixed Conditionals,"If I had the time machine, I am going to visit ancient Rome.","If I had a time machine, I would visit ancient Rome."
9421,Faulty Comparisons,The beach is more cleaner than the lake.,The beach is cleaner than the lake.
9422,Lack of Parallelism in Lists or Series,"The project requires careful planning, effective communication, and to monitor progress.","The project requires careful planning, effective communication, and progress monitoring."
9423,Verb Tense Errors,The package is deliver yesterday.,The package was delivered yesterday.
9424,Pronoun Errors,The volunteers cleaned the park and made sure it's surroundings were litter-free.,The volunteers cleaned the park and made sure its surroundings were litter-free.
9425,Relative Clause Errors,The store I bought the shirt is having a sale.,The store where I bought the shirt is having a sale.
9426,Abbreviation Errors,My bro just joined the USMC yday.,My brother just joined the United States Marine Corps yesterday.
9427,Pronoun Errors,The plants need water for they're survival.,The plants need water for their survival.
9428,Relative Clause Errors,The meeting will be held at the office has a large conference room.,The meeting will be held at the office that has a large conference room.
9429,Punctuation Errors,How are you doing today?,How are you doing today?
9430,Spelling Mistakes,76. The package was delivered to the wrong adress by mistake.,76. The package was delivered to the wrong address by mistake.
9431,Article Usage,The employees are attending a training session at a company.,The employees are attending a training session at the company.
9432,Conjunction Misuse,"The weather is sunny, but it is also windy.",The weather is sunny and also windy.
9433,Negation Errors,I can't find no solutions to this problem.,I can't find any solutions to this problem.
9434,Sentence Structure Errors,The childrens played hide and seek in the backyard.,The children played hide and seek in the backyard.
9435,Tautology,He was very honest and truthful when he spoke.,He was very honest when he spoke.
9436,Subject-Verb Agreement,The shelves was filled with books.,The shelves were filled with books.
9437,Faulty Comparisons,The new model is more lighter than the previous one.,The new model is lighter than the previous one.
9438,Negation Errors,I don't know nothing about cars.,I don't know anything about cars.
9439,Sentence Structure Errors,"I can't finds my keys, have you seen them?",I can't find my keys; have you seen them?
9440,Spelling Mistakes,"56. They enjoyed the concert, especialy the final performance.","56. They enjoyed the concert, especially the final performance."
9441,Punctuation Errors,I love reading books especially novels.,"I love reading books, especially novels."
9442,Lack of Parallelism in Lists or Series,"The hotel provides comfortable rooms, delicious food, and offering various amenities.","The hotel provides comfortable rooms, delicious food, and offers various amenities."
9443,Negation Errors,He doesn't read no newspapers.,He doesn't read any newspapers.
9444,Quantifier Errors,Some of children enjoy playing soccer.,Some children enjoy playing soccer.
9445,Subject-Verb Agreement,The company's policies is constantly evolving.,The company's policies are constantly evolving.
9446,Sentence Structure Errors,The cake needs to bake in oven for 30 minutes.,The cake needs to bake in the oven for 30 minutes.
9447,Contractions Errors,She's book is on the table.,Her book is on the table.
9448,Subject-Verb Agreement,The film festival have a great lineup this year.,The film festival has a great lineup this year.
9449,Article Usage,The museum is featuring a new exhibit about a ancient civilizations.,The museum is featuring a new exhibit about ancient civilizations.
9450,Inappropriate Register,"The new restaurant offers a wide variety of dishes, and the ambiance is pretty chill.","The new restaurant offers a wide variety of dishes, and the ambiance is quite relaxed."
9451,Sentence Structure Errors,She very tired after the long day at work.,She is very tired after the long day at work.
9452,Sentence Structure Errors,The dog chased the squirrels in the park yesterday.,The dog chased the squirrels in the park yesterday.
9453,Conjunction Misuse,"I like pizza, but I don't like ice cream.",I like pizza but don't like ice cream.
9454,Tautology,This is an unexpected surprise for me.,This is a surprise for me.
9455,Parallelism Errors,"To succeed in business, one must be dedicated, work hard, and you need to network.","To succeed in business, one must be dedicated, work hard, and network."
9456,Faulty Comparisons,The weather is less hotter today than yesterday.,The weather is cooler today than yesterday.
9457,Inappropriate Register,The new regulations will help in reducin' pollution and conservin' natural resources.,The new regulations will help in reducing pollution and conserving natural resources.
9458,Lack of Parallelism in Lists or Series,"The movie was entertaining, suspenseful, and had an unexpected twist.","The movie was entertaining, suspenseful, and featured an unexpected twist."
9459,Ellipsis Errors,The concert was amazing... loved every minute of it.,"The concert was amazing, and I loved every minute of it."
9460,Infinitive Errors,She told him to quietly enter the room.,She told him to enter the room quietly.
9461,Gerund and Participle Errors,The politician was accused of corrupt and bribery.,The politician was accused of corruption and bribery.
9462,Spelling Mistakes,71. The house was decorated with balloons and banners for the party.,71. The house was decorated with balloons and banners for the party.
9463,Gerund and Participle Errors,I apologize for any inconvenience my mistake may have cause.,I apologize for any inconvenience my mistake may have caused.
9464,Incorrect Auxiliaries,The company be launching a new product.,The company is launching a new product.
9465,Relative Clause Errors,The store which sells electronics is closing down.,The store that sells electronics is closing down.
9466,Parallelism Errors,"The painting features vibrant colors, interesting shapes, and it has a unique texture.","The painting features vibrant colors, interesting shapes, and a unique texture."
9467,Infinitive Errors,She wanted to passionately advocate for her cause.,She wanted to advocate passionately for her cause.
9468,Passive Voice Overuse,The medicine was prescribed by the doctor for my illness.,The doctor prescribed the medicine for my illness.
9469,Redundancy/Repetition,"At 3 PM in the afternoon, I have a meeting.","At 3 PM, I have a meeting."
9470,Mixed Metaphors/Idioms,15. He's barking up the wrong tree at the end of the day.,15. He's barking up the wrong tree.
9471,Incorrect Auxiliaries,The city's population be growing rapidly.,The city's population is growing rapidly.
9472,Word Choice/Usage,I need to buy a new pear of sneakers.,I need to buy a new pair of sneakers.
9473,Gerund and Participle Errors,The police officer's quick think saved the hostage's life.,The police officer's quick thinking saved the hostage's life.
9474,Preposition Usage,He threw the ball inside the window.,He threw the ball through the window.
9475,Subject-Verb Agreement,The set of dishes in the cupboard is antique.,The set of dishes in the cupboard are antique.
9476,Passive Voice Overuse,The medicine was prescribed by the doctor for my illness.,The doctor prescribed the medicine for my illness.
9477,Article Usage,He is a fan of a basketball.,He is a fan of basketball.
9478,Sentence Fragments,"The car, dirty, needs cleaning.",The car is dirty and needs cleaning.
9479,Lack of Parallelism in Lists or Series,"She was tired, hungry, and feeling cold.","She was tired, hungry, and cold."
9480,Negation Errors,There isn't no milk in the fridge.,There is no milk in the fridge.
9481,Sentence Structure Errors,The store is closed today because of the holiday.,The store is closed today because of the holiday.
9482,Infinitive Errors,He decided to strongly voice his opinion.,He decided to voice his opinion strongly.
9483,Verb Tense Errors,The children has fun at the amusement park.,The children had fun at the amusement park.
9484,Modifiers Misplacement,The coffee was served by the barista with a beautiful design on top.,The coffee with a beautiful design on top was served by the barista.
9485,Clichés,He's giving cold shoulder.,He's giving her the cold shoulder.
9486,Spelling Mistakes,40. She has been working for the company since six years.,40. She has been working for the company for six years.
9487,Mixed Metaphors/Idioms,"10. The early bird catches the worm, but that's the way the cookie crumbles.",10. The early bird catches the worm.
9488,Conjunction Misuse,"I will go to the store, but I will buy groceries.",I will go to the store and buy groceries.
9489,Verb Tense Errors,The author has been write a new book.,The author has been writing a new book.
9490,"Slang, Jargon, and Colloquialisms",15. She's the kinda person who's always late.,15. She's the type of person who's always late.
9491,Spelling Mistakes,88. The football player scored a goal in the last minute of the game.,88. The football player scored a goal in the last minute of the game.
9492,Abbreviation Errors,"The pkg was del'd by USPS, not UPS.","The package was delivered by United States Postal Service, not United Parcel Service."
9493,Subject-Verb Agreement,The selection of movies at the theater is impressive.,The selection of movies at the theater are impressive.
9494,Inappropriate Register,The board members agreed that the proposed plan was legit.,The board members agreed that the proposed plan was legitimate.
9495,Infinitive Errors,The coach instructed to aggressively play defense.,The coach instructed to play defense aggressively.
9496,Abbreviation Errors,"She's a prof at UCLA, in the CS dept.","She's a professor at the University of California, Los Angeles, in the Computer Science department."
9497,Spelling Mistakes,"37. We have planted tomatoes, potatos, and carrots in our garden.","37. We have planted tomatoes, potatoes, and carrots in our garden."
9498,Mixed Conditionals,"If you will finish your homework, you can watch TV.","If you finish your homework, you can watch TV."
9499,Gerund and Participle Errors,I apologize for any inconvenience my mistake may have cause.,I apologize for any inconvenience my mistake may have caused.
9500,Capitalization Errors,"i live in new delhi, the capital of india.","I live in New Delhi, the capital of India."
9501,Ambiguity,He needs learn to cook.,He needs to learn to cook.
9502,Subject-Verb Agreement,The computers in the lab was updated last week.,The computers in the lab were updated last week.
9503,Infinitive Errors,She wants to in the future study computer science.,She wants to study computer science in the future.
9504,Quantifier Errors,Some of countries have strict visa requirements.,Some countries have strict visa requirements.
9505,Sentence Fragments,"The baby, asleep, parents relieved.","The baby was asleep, and the parents were relieved."
9506,Conjunction Misuse,"The plants need water, but they also need sunlight.",The plants need water and sunlight.
9507,Sentence Structure Errors,She has a few books that she wants to reading.,She has a few books that she wants to read.
9508,Tautology,The reason why he's successful is because he works hard.,He's successful because he works hard.
9509,Spelling Mistakes,92. She was a great cook and her lasagna was delisious.,"92. She was a great cook, and her lasagna was delicious."
9510,Modifiers Misplacement,The teacher noticed the students laughing in the hallway.,The teacher noticed the students in the hallway laughing.
9511,Preposition Usage,They walked among the trees.,They walked amidst the trees.
9512,Punctuation Errors,He said I’m sorry.,"He said, “I’m sorry.”"
9513,Capitalization Errors,i have a meeting on Monday with dr. Smith.,I have a meeting on Monday with Dr. Smith.
9514,Verb Tense Errors,They was playing soccer last night.,They were playing soccer last night.
9515,Modifiers Misplacement,"Walking incredibly, John finished the race.","Incredibly, John finished the race while walking."
9516,Sentence Structure Errors,I can't believe she ate the whole cake herself!,I can't believe she ate the whole cake by herself!
9517,Subject-Verb Agreement,The plants in the garden has grown significantly.,The plants in the garden have grown significantly.
9518,Agreement in Comparative and Superlative Forms,This is the most happiest day of my life.,This is the happiest day of my life.
9519,Sentence Structure Errors,The weather is very hot today; I need a cold drink.,The weather is very hot today; I need a cold drink.
9520,Punctuation Errors,She was late for the meeting which caused some issues.,"She was late for the meeting, which caused some issues."
9521,Relative Clause Errors,The concert we went to it last night was amazing.,The concert that we went to last night was amazing.
9522,Parallelism Errors,"The building has a gym, swimming pool, and the rooftop offers great views.","The building has a gym, swimming pool, and a rooftop with great views."
9523,Sentence Fragments,"The water, boiling, ready for tea.",The water was boiling and ready for tea.
9524,Mixed Metaphors/Idioms,"35. A watched pot never boils, but the best things in life are free.",35. A watched pot never boils.
9525,Ambiguity,The child was ate the candy.,The child ate the candy.
9526,Subject-Verb Agreement,The series of events leading up to the incident was complicated.,The series of events leading up to the incident were complicated.
9527,Sentence Structure Errors,They went to beach and had a great time together.,They went to the beach and had a great time together.
9528,Run-on Sentences,I'm allergic to cats I can't have one as a pet.,"I'm allergic to cats, so I can't have one as a pet."
9529,Spelling Mistakes,3. The books is on the shelf in the library.,3. The book is on the shelf in the library.
